AMINO ACID,DSSP,SASA,GYRATE,ENERGY,RMSF
ALA, 16.09103635855, 26.6420765569, 0.830791388624, -80262.002469, 10.251659259259 
ARG, 15.3135874565, 27.877099676, 0.852547772129, -80734.8301552, 10.298462962963 
ASN, 19.18347266109, 26.5636595336, 0.823310857286, -80418.5350405, 10.210481481481 
ASP, 18.89224431023, 26.2006917723, 0.820052622935, -80178.5187749, 10.207903703704 
CYS, 18.34410623575, 26.6379452422, 0.840381982801, -80262.6970084, 10.307162962963 
GLN, 16.90632374705, 27.3938143674, 0.863990435383, -80305.484715, 10.290562962963 
GLU, 16.95528178873, 25.9544569017, 0.821459694972, -80150.0831907, 10.207940740741 
GLY, 17.19935202592, 25.6218480861, 0.820540089916, -80334.6126683, 10.230159259259 
HIS, 16.94984200632, 28.3058686053, 0.877041393304, -80215.1594567, 10.336788888889 
ILE, 16.7507299708, 26.6005569377, 0.827392723971, -80126.980897, 10.278788888889 
LEU, 16.75700971961, 28.0598718451, 0.876727856166, -80098.3068709, 10.349325925926 
LYS, 18.11907523699, 27.0600186793, 0.823945610576, -80627.5685288, 10.242707407407 
MET, 18.02599896004, 26.4397041718, 0.830993095996, -80178.0219791, 10.221622222222 
PHE, 16.31882724691, 26.3592737091, 0.843891875685, -79995.6834061, 10.339081481481 
PRO, 16.47362105516, 26.5313865445, 0.832435635215, -80208.9385693, 10.268974074074 
SER, 15.4372625095, 25.9873477061, 0.822251882765, -80319.190932, 10.234703703704 
THR, 16.22931082757, 27.1358047678, 0.865804150834, -80255.2045021, 10.375159259259 
TRP, 14.4391424343, 28.0388270469, 0.859143399024, -79984.2931601, 10.314955555556 
TYR, 17.97376104956, 27.4304943402, 0.843325981801, -80071.6325206, 10.270355555556 
VAL, 16.4368625255, 26.4967838086, 0.83556449834, -80176.5874887, 10.221659259259 
